Year,Original Song,Original Artist,Second Song,Second Artist,Copyright/Royalties (Y/N),Original Song YouTube Link,Second Song Youtube Link
2021,"""Made In America""",Kidd Wes,"""This is America""",Childish Gambino,Y,https://www.youtube.com/watch?v=C7zL_OE7gnM,https://www.youtube.com/watch?v=VYOjWnS4cMY
2021,"""Goin' Home""",Toto,"""Anyone""",Justin Bieber,Y,https://www.youtube.com/watch?v=Du7RHksJpH4,https://www.youtube.com/watch?v=KIK3azN4w34
2021,"""Misery Business""",Paramore,"""Good 4 U""",Olivia Rodrigo,Y,https://www.youtube.com/watch?v=aCyGvGEtOwc,https://www.youtube.com/watch?v=gNi_6U5Pm_o
2022,"""Live Your Life""",Artikal Sound System,"""Levitating""",Dua Lipa,Y,https://www.youtube.com/watch?v=IKfGeCLAsvI,https://www.youtube.com/watch?v=TUVcZfQe-Kw
2022,"""Get Ur Freak On""",Missy Elliott,"""Safaera""",Bad Bunny,Y,https://www.youtube.com/watch?v=FPoKiGQzbSQ,https://www.youtube.com/watch?v=jCQ_6XbATPc
2022,"""Thank You""",Dido,"""Mi Bebito Fiu Fiu""",Tito Silva Music,Y,https://www.youtube.com/watch?v=1TO48Cnl66w,https://www.youtube.com/watch?v=UCK0-LQun6Q
2022,"""El Hueso de Mi Perra""",Little Key and Son de AK,"""Gatita""",Bellakath,Y,https://www.youtube.com/watch?v=_GNW2EjH_CE,https://www.youtube.com/watch?v=msVB4L2Hrfk
2024,"""Trouble Is a Friend""",Lenka,"""Selos""",Shaira,Y,https://www.youtube.com/watch?v=QHpvlr_kG6U,https://www.youtube.com/watch?v=olPU1A0iB9I
2024,"""Scatman (Ski-Ba-Bop-Ba-Dop-Bop)",Scatman John,"""Bailar Contigo""",Black Eyed Peas,Y,https://www.youtube.com/watch?v=Hy8kmNEo1i8,https://www.youtube.com/watch?v=heihCpHHjbA
2024,"""I Feel Love""",Donna Summer,"""Good (Don't Die)""",Kanye West,Y,https://www.youtube.com/watch?v=yEbaeLv-aOo,https://www.youtube.com/watch?v=8RekdDwmvJs
2024,"""When I Was Your Man""",Bruno Mars,"""Flowers""",Miley Cyrus,Y,https://www.youtube.com/watch?v=ekzHIouo8Q4,https://www.youtube.com/watch?v=G7KNmW9a75Y
